Movie_Name,Certification,Release_Date,Genres,Language,Budget,Revenue,Runtime
Troll,PG13,12/1/22,Fantasy,Norwegian,-,-,104
Candy Land,,1/6/23,Horror,English,-,-,93
Japanese Woman is Cheap in the Next Room,19+,7/9/20,Drama,싼다,Released,-,61
There's Something Wrong with the Children,NR,1/17/23,Horror,English,-,-,92
Berlin Drifters,18,9/10/17,Drama,Released,Language,-,123
Savage Salvation,R,12/2/22,Action,English,"$85,645.00 ",-,101
High Heat,R,12/16/22,Action,English,-,-,84
The Woman King,PG13,4/20/23,Action,English,"$50,000,000.00 ","$91,000,000.00 ",135
Roald Dahl's Matilda the Musical,PG,12/25/22,Family,English,"$25,000,000.00 ","$13,276,499.00 ",117
The Last Client,15,6/20/22,Thriller,Released,Language,-,95
Guillermo del Toro's Pinocchio,PG,12/9/22,Animation,English,"$35,000,000.00 ",-,117
Encanto at the Hollywood Bowl,PG,12/28/22,Music,English,-,-,
The Chronicles of Narnia: The Lion  the Witch and the Wardrobe,PG,12/22/05,Adventure,English,"$180,000,000.00 ","$745,013,115.00 ",143
The Big 4,M18,12/15/22,Action,Indonesian,-,-,141
Winnie the Pooh: Blood and Honey,C,2/15/23,Horror,English,-,"$1,000,000.00 ",84
A Frozen Rooster,,12/14/22,Animation,Status,Original,-,91
Fall,PG13,8/11/22,Thriller,English,"$3,000,000.00 ","$16,120,263.00 ",107
The Independent,,11/2/22,Thriller,English,-,-,108
Evil Eye,18+,9/22/22,Horror,ojo,Released,-,100
Strange World,NC16,11/24/22,Animation,English,"$180,000,000.00 ","$60,624,918.00 ",102
Terrifier 2,NR,10/17/22,Horror,English,"$250,000.00 ","$12,400,000.00 ",138
My Name Is Vendetta,M18,11/30/22,Action,nome,vendetta,-,90
Knock at the Cabin,R21,2/16/23,Horror,English,"$20,000,000.00 ","$21,000,000.00 ",100
You People,M18,1/27/23,Romance,English,-,-,117
Sniper: The White Raven,12+,8/24/22,War,ворон,Released,-,
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,PG12,10/16/20,Animation,Released,Language,"$503,063,688.00 ",117
R.I.P.D. 2: Rise of the Damned,PG-13,11/15/22,Fantasy,English,-,-,102
The Boss Baby: Christmas Bonus,PG,12/6/22,Animation,English,-,-,
Secret Headquarters,PG,8/12/22,Science Fiction,English,-,-,104
Hex,R,11/1/22,Action,English,-,-,88
Lupin The 3rd vs. Catâ€™s Eye,NC16,1/27/23,Animation,Released,Language,-,92
Medieval,R,9/9/22,History,English,"$23,000,000.00 ","$4,311,284.00 ",126
Detective Knight: Rogue,R,10/21/22,Action,English,-,-,105
Inspector Sun and the Curse of the Black Widow,N-7,12/28/22,Animation,y,maldición,-,90
Top Gun: Maverick,PG13,5/26/22,Action,English,"$170,000,000.00 ","$1,488,732,821.00 ",131
Jurassic World Dominion,PG13,6/8/22,Adventure,English,"$165,000,000.00 ","$1,001,000,000.00 ",147
Spider-Man: No Way Home,PG,12/16/21,Action,English,"$200,000,000.00 ","$1,916,306,995.00 ",148
Thor: Love and Thunder,PG13,7/7/22,Fantasy,English,"$250,000,000.00 ","$760,928,081.00 ",119
Jeepers Creepers: Reborn,NC16,9/22/22,Horror,English,"$5,000,000.00 ","$5,954,938.00 ",88
Project Gemini,12+,1/6/22,Science Fiction,Status,Original,-,99
Smile,M18,9/29/22,Horror,English,"$17,000,000.00 ","$216,000,000.00 ",115
Dragon Ball Super: Super Hero,PG-13,9/1/22,Animation,Status,Original,"$86,562,140.00 ",99
The Pale Blue Eye,M18,1/6/23,Mystery,English,"$72,000,000.00 ",-,130
Jujutsu Kaisen 0,PG13,3/10/22,Animation,0,Released,"$195,870,885.00 ",105
Lyle  Lyle  Crocodile,PG,12/1/22,Comedy,English,"$50,000,000.00 ","$79,761,937.00 ",106
All Quiet on the Western Front,M18,10/28/22,Action,nichts,Status,-,147
King Shakir Recycle,12,7/14/22,Animation,Geri,Status,-,92
Demon Slayer: Kimetsu no Yaiba -To the Swordsmith Village-,,2/3/23,Action,Released,Language,-,116
Night at the Museum: Kahmunrah Rises Again,PG,12/9/22,Animation,English,-,-,77
Abandoned,PG-13,6/17/22,Horror,English,-,-,102
Sonic the Hedgehog 2,PG,3/31/22,Action,English,"$110,000,000.00 ","$401,800,000.00 ",122
Prey,M18,8/5/22,Thriller,English,"$65,000,000.00 ",-,100
Ant-Man and the Wasp: Quantumania,PG,2/16/23,Adventure,English,-,-,125
Bullet Train,M18,8/4/22,Action,English,"$90,000,000.00 ","$239,260,044.00 ",126
Tinker Bell and the Legend of the NeverBeast,G,3/3/15,Adventure,English,-,-,77
Harry Potter and the Philosopher's Stone,PG,11/22/01,Adventure,English,"$125,000,000.00 ","$976,475,550.00 ",152
Paradise City,R,11/11/22,Action,English,"$20,000,000.00 ",-,93
Doctor Strange in the Multiverse of Madness,PG13,5/4/22,Fantasy,English,"$200,000,001.00 ","$964,091,059.00 ",126
Girl at the Window,MA15+,8/18/22,Thriller,English,-,-,84
Infelices para Siempre,,1/26/23,Comedy,Spanish;,Budget,-,90
The Key Game,16,4/13/22,Comedy,de,llaves,-,107
Blade of the 47 Ronin,R,10/25/22,Action,English,-,-,106
Disenchanted,PG,11/18/22,Comedy,English,-,-,
Monstrous,PG-13,5/13/22,Horror,English,-,"$138,450.00 ",89
The Whale,M18,12/29/22,Drama,English,"$3,000,000.00 ","$11,096,765.00 ",117
Beast,NC16,8/25/22,Thriller,English,-,"$56,000,000.00 ",93
Ritual,16,9/7/22,Thriller,Released,Language,-,
Encanto,PG,11/25/21,Animation,English,"$50,000,000.00 ","$253,000,000.00 ",102
Minions: The Rise of Gru,PG,6/30/22,Animation,English,"$85,000,000.00 ","$939,628,210.00 ",87
The Batman,PG13,3/3/22,Crime,English,"$185,000,000.00 ","$770,836,163.00 ",177
Avatar: Creating the World of Pandora,,2/7/10,Documentary,English,-,-,
One Way,R,9/2/22,Action,English,-,-,96
Cop Secret,NR,10/20/21,Comedy,Released,Language,-,100
Puss in Boots,PG,10/28/11,Action,English,"$130,000,000.00 ","$554,987,477.00 ",90
The Minute You Wake Up Dead,R,11/4/22,Thriller,English,-,-,90
Turning Red,PG,3/11/22,Animation,English,"$190,000,000.00 ","$18,879,922.00 ",100
Polar,18,10/26/22,Action,Spanish;,Budget,-,76
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,PG-13,3/29/19,Action,Status,Original,-,105
Sing 2,PG,12/23/21,Animation,English,"$85,000,000.00 ","$406,000,000.00 ",110
Covet: Island of Desire,19+,5/4/17,Romance,섬,Released,-,81
Orphan: First Kill,NC16,8/4/22,Horror,English,-,"$9,572,765.00 ",99
Orgasm Inc: The Story of OneTaste,R21,11/5/22,Documentary,English,-,-,89
Emily the Criminal,R,9/1/22,Crime,English,-,-,97
Avengers: Infinity War,PG13,4/26/18,Adventure,English,"$300,000,000.00 ","$2,046,239,637.00 ",149
Luck,PG,8/5/22,Animation,English,-,-,105
Legions,,1/5/23,Fantasy,Mandinga,Released,-,88
Fullmetal Alchemist: The Final Alchemy,PG13,9/24/22,Action,最後の錬成,Released,-,143
Don't Open the Door,,11/30/22,Horror,la,Status,-,114
Darby and the Dead,NC16,1/27/23,Comedy,English,-,-,100
Retirement Home,U,2/16/22,Comedy,retraite,Released,-,97
The Lair,18+,8/25/22,Horror,English,-,-,93
Doraemon: Nobita's Little Star Wars 2021,G,6/23/22,Animation,2021,Released,-,108
Diary of a Wimpy Kid: Rodrick Rules,PG,12/2/22,Animation,English,-,-,74
Shrek,PG,6/7/01,Animation,English,"$60,000,000.00 ","$487,853,320.00 ",90
Legion of Super-Heroes,PG-13,2/7/23,Animation,English,-,-,84
Uncharted,PG,2/17/22,Action,English,"$120,000,000.00 ","$401,748,820.00 ",116
Desire,16,9/14/11,Drama,Released,Language,-,103
Scrooge: A Christmas Carol,PG,12/2/22,Animation,English,-,-,97
Lesson Plan,NC16,11/23/22,Crime,Status,Original,-,101
Paradise Highway,R,8/1/22,Thriller,English,-,-,115
Hellraiser,R,9/28/22,Horror,English,"$14,000,000.00 ",-,121
Lost Bullet 2,NC16,11/10/22,Action,2,Released,-,98
MexZombies,,10/26/22,Horror,Spanish;,Budget,-,93
The Infernal Machine,R,9/23/22,Thriller,English,-,-,107
The Quintessential Quintuplets Movie,PG,5/20/22,Animation,Status,Original,"$17,288,993.00 ",136
On the Line,R,11/4/22,Thriller,English,-,-,104
DC League of Super-Pets,PG,7/28/22,Animation,English,"$90,000,000.00 ","$203,000,000.00 ",105
Hotel Transylvania: Transformania,PG,1/14/22,Animation,English,-,-,87
A Man Called Otto,NC16,3/23/23,Comedy,English,"$50,000,000.00 ","$83,000,000.00 ",126
Lecciones para canallas,,9/1/22,Comedy,Spanish;,Budget,-,104
Infiesto,NC16,2/3/23,Thriller,Spanish;,Budget,-,96
Harry Potter and the Goblet of Fire,12,11/17/05,Adventure,English,"$150,000,000.00 ","$895,921,036.00 ",157
The Super Mario Bros. Movie,PG,4/6/23,Animation,Language,Budget,-,
Tom and Jerry Snowman's Land,G,9/6/22,Family,English,-,-,76
Titanic,NC16,4/5/12,Drama,English,"$200,000,000.00 ","$2,187,463,944.00 ",194
Blue's Big City Adventure,,11/18/22,Family,English,-,-,74
Boso Dos,,2/3/23,Comedy,English,-,-,
Maneater,R,8/26/22,Thriller,English,-,-,86
Piggy,16,10/14/22,Thriller,Released,Language,"$380,512.00 ",100
True Spirit,PG,2/3/23,Adventure,English,-,-,109
After Ever Happy,R,9/7/22,Romance,English,-,"$12,467,270.00 ",95
Harry Potter and the Half-Blood Prince,12,7/7/09,Adventure,English,"$250,000,000.00 ","$933,959,197.00 ",153
Shark Bait,15,6/6/22,Horror,English,-,-,87
Harry Potter and the Chamber of Secrets,PG,11/16/02,Adventure,English,"$100,000,000.00 ","$876,688,482.00 ",161
Enola Holmes 2,PG13,11/4/22,Mystery,English,-,-,129
X,R,5/24/22,Horror,English,"$10,000,000.00 ","$14,779,858.00 ",106
My Hero Academia: World Heroes' Mission,G,8/6/21,Animation,MOVIE,ヒーローズ,"$38,410,729.00 ",105
Athena,M18,9/23/22,Drama,French,-,-,97
The Menu,NC16,11/17/22,Horror,English,"$35,000,000.00 ","$76,849,419.00 ",107
Viking Wolf,M18,2/3/23,Horror,Released,Language,-,97
House Party,R,1/13/23,Comedy,English,-,-,100
20th Century Girl,PG13,10/21/22,Romance,Status,Original,-,119
The Black Phone,NC16,7/21/22,Horror,English,"$17,000,000.00 ","$161,000,000.00 ",103
Harry Potter and the Prisoner of Azkaban,PG,6/4/04,Adventure,English,"$130,000,000.00 ","$789,804,554.00 ",141
Drifting Home,PG13,9/16/22,Animation,Released,Language,-,
The Soccer Football Movie,PG,11/9/22,Animation,English,-,-,74
Black Panther,PG-13,2/15/18,Action,English,"$200,000,000.00 ","$1,347,597,973.00 ",135
Tad  the Lost Explorer and the Emerald Tablet,PG,8/25/22,Animation,0.125,Tabla,-,89
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,PG13,1/12/23,Animation,紅蓮の絆編,Released,-,108
Fantastic Beasts: The Secrets of Dumbledore,PG13,4/14/22,Fantasy,English,"$200,000,000.00 ","$405,161,334.00 ",142
The Guardians of the Galaxy Holiday Special,PG13,11/25/22,Comedy,English,-,-,
Scream,M18,1/13/22,Horror,English,"$24,000,000.00 ","$140,041,405.00 ",114
Corrective Measures,16+,4/29/22,Science Fiction,English,-,-,106
Harry Potter and the Order of the Phoenix,12,7/3/07,Adventure,English,"$150,000,000.00 ","$938,212,738.00 ",138
The Invitation,NC16,8/25/22,Horror,English,"$10,000,000.00 ","$33,628,000.00 ",105
Fifty Shades of Grey,R,2/13/15,Drama,English,"$40,000,000.00 ","$571,006,128.00 ",125
Teasing Master Takagi-san: The Movie,G,6/10/22,Animation,Status,Original,-,73
The Ledge,R,2/18/22,Thriller,English,"$2,500,000.00 ",-,86
Interstellar,PG-13,11/6/14,Adventure,English,"$165,000,000.00 ","$701,729,206.00 ",169
Blowback,R,6/17/22,Action,English,-,-,93
Fast X,,5/18/23,Action,Language,Budget,-,130
Samaritan,PG13,8/26/22,Action,English,"$100,000,000.00 ",-,102
In the Forest,NR,1/28/22,Horror,English,-,-,83
Beauty Salon: Special Service,19+,12/29/16,Romance,특별한,Status,-,81
Hocus Pocus 2,PG13,9/30/22,Fantasy,English,"$30,000,000.00 ",-,107
Emancipation,M18,12/9/22,Action,English,-,-,132
Venom: Let There Be Carnage,PG13,10/14/21,Science Fiction,English,"$110,000,000.00 ","$506,863,592.00 ",97
Hacksaw Ridge,MA15+,1/19/17,Drama,English,"$40,000,000.00 ","$175,302,354.00 ",139
The Conjuring: The Devil Made Me Do It,NC16,6/11/21,Horror,English,"$39,000,000.00 ","$201,000,000.00 ",111
Whisper,18,1/23/22,Horror,English,"$20,000.00 ",-,76
Everything Everywhere All at Once,M18,3/24/22,Action,English,"$25,000,000.00 ","$105,125,007.00 ",140
The Next 365 Days,R21,8/19/22,Romance,dni,Released,-,112
L'oubliée d'Amboise,,6/25/22,Crime,French,-,-,96
To Kill the Beast,14,4/28/22,Mystery,la,Status,-,89
Jethica,NR,1/13/23,Comedy,English,-,-,72
Fifty Shades Freed,R,2/9/18,Drama,English,"$55,000,000.00 ","$368,307,760.00 ",105
Harry Potter and the Deathly Hallows: Part 2,12,7/7/11,Fantasy,English,"$125,000,000.00 ","$1,341,511,219.00 ",130
The Lost City,PG13,4/21/22,Action,English,"$74,000,000.00 ","$190,844,029.00 ",112
Shrek 2,PG,5/21/04,Animation,English,"$150,000,000.00 ","$928,760,770.00 ",93
Transformers: Rise of the Beasts,,6/8/23,Action,Language,Budget,-,
The Forbidden Legend: Sex & Chopsticks 2,R,3/4/09,Comedy,Status,Original,-,93
The Price of Family,NC16,1/25/23,Comedy,tutti,costi,-,90
American Murderer,R,10/21/22,Crime,English,-,-,101
La novia de América,,2/17/23,Comedy,Spanish;,Budget,-,
Me contro Te: Il film - Persi nel tempo,,1/1/22,Family,Italian,-,-,
Evil Dead Rise,R21,4/20/23,Horror,Language,Budget,-,97
Avatar: Scene Deconstruction,,12/18/09,Documentary,English,-,-,
The Banshees of Inisherin,M18,1/26/23,Drama,English,-,"$19,826,461.00 ",114
The Gray Man,NC16,7/22/22,Action,English,"$200,000,000.00 ",-,128
The School for Good and Evil,PG13,10/19/22,Fantasy,English,-,-,146
The Battle at Lake Changjin: Water Gate Bridge,NC16,2/10/22,War,Released,Language,"$626,203,271.00 ",149
The Jack in the Box: Awakening,15,1/3/22,Horror,English,-,"$195,189.00 ",89
The Hip Hop Nutcracker,PG,11/25/22,Music,English,-,-,
Frank and Penelope,R,8/16/22,Thriller,English,-,-,112
Project Wolf Hunting,18,9/21/22,Action,Released,Language,-,122
Laid-Back Camp The Movie,,7/1/22,Animation,Released,Language,"$7,283,918.00 ",121
Harry Potter and the Deathly Hallows: Part 1,12A,11/19/10,Adventure,English,"$250,000,000.00 ","$954,305,868.00 ",146
Terrifier,NR,3/15/16,Horror,English,"$100,000.00 ",-,84
Wife's Mom 2,19+,1/14/19,Drama,2,Released,-,68
The Northman,M18,7/14/22,Action,English,"$70,000,000.00 ","$69,633,110.00 ",137
Crawlspace,R,3/31/22,Thriller,English,-,-,90
Margaux,R,9/9/22,Horror,English,-,-,105
Morbius,PG13,3/31/22,Action,English,"$75,000,000.00 ","$161,000,000.00 ",105
Alien Sniperess,,4/8/22,Action,English,-,-,94
Slumberland,PG,11/18/22,Family,English,"$35,000,000.00 ",-,117
Overdose,M18,11/4/22,Action,French,-,-,119
John Wick: Chapter 4,6+,3/23/23,Action,Language,Budget,-,
Blade Runner 2049,R,10/5/17,Science Fiction,English,"$150,000,000.00 ","$259,239,658.00 ",164
Take the Lead,PG-13,3/17/06,Comedy,English,"$30,000,000.00 ","$65,742,992.00 ",108
John Wick: Chapter 2,M18,2/16/17,Action,English,"$40,000,000.00 ","$171,539,887.00 ",122
Lightyear,NC16,6/16/22,Animation,English,"$200,000,000.00 ","$226,400,000.00 ",105
Shang-Chi and the Legend of the Ten Rings,PG,9/1/21,Action,English,"$150,000,000.00 ","$432,243,292.00 ",132
Shrek Forever After,PG,5/16/10,Comedy,English,"$165,000,000.00 ","$752,600,867.00 ",93
Moonfall,PG13,2/3/22,Science Fiction,English,"$146,000,000.00 ","$59,100,000.00 ",130
Sonic the Hedgehog,PG,2/20/20,Action,English,"$85,000,000.00 ","$306,766,470.00 ",99
Monsters  Inc.,G,11/15/01,Animation,English,"$115,000,000.00 ","$579,707,738.00 ",92
The Exorcism of God,R,3/11/22,Horror,English,"$1,500,000.00 ",-,98
The Ice Age Adventures of Buck Wild,PG,1/28/22,Animation,English,-,-,82
Last Seen Alive,R,6/3/22,Action,English,-,-,95
The Maze Runner,PG-13,9/17/14,Action,English,"$34,000,000.00 ","$348,319,861.00 ",113
The Seven Deadly Sins: Cursed by Light,PG-13,7/2/21,Animation,光に呪われし者たち,Released,"$1,094,673.00 ",79
Top Gun,PG,5/16/86,Action,English,"$15,000,000.00 ","$356,830,601.00 ",110
The Avengers,PG-13,5/1/12,Science Fiction,English,"$220,000,000.00 ","$1,518,815,515.00 ",143
The Shawshank Redemption,R,3/31/21,Drama,English,"$25,000,000.00 ","$28,341,469.00 ",142
Coco,PG,11/22/17,Family,English,"$175,000,000.00 ","$800,526,015.00 ",105
365 Days: This Day,R21,4/27/22,Romance,Polish,-,-,111
The Call of the Wild,PG,2/21/20,Adventure,English,"$109,000,000.00 ","$111,105,497.00 ",100
Seoul Vibe,NC16,8/26/22,Action,Released,Language,-,140
The Boss Baby: Family Business,PG,9/9/21,Animation,English,"$82,000,000.00 ","$146,745,280.00 ",107
The Action Pack Saves Christmas,G,11/28/22,Animation,English,-,-,
Grimcutty,NC16,10/10/22,Horror,English,-,-,101
Wild Is the Wind,R21,10/28/22,Crime,English,-,-,123
The Girl from the Other Side,,3/10/22,Animation,Released,Language,-,70
Fullmetal Alchemist: The Revenge of Scar,PG-13,5/20/22,Fantasy,復讐者スカー,Released,-,125
Nefeli,18,1/1/80,Romance,Greek,"$10,000,000.00 ",-,110
Pinocchio,PG,9/8/22,Fantasy,English,-,-,105
Watcher,R,6/3/22,Mystery,English,-,"$2,667,033.00 ",96
Zack Snyder's Justice League,R,3/18/21,Action,English,"$70,000,000.00 ","$657,900,000.00 ",242
A Female Employee's Taste,19+,5/28/18,Drama,Status,Original,-,80
Avengers: Endgame,PG13,4/24/19,Adventure,English,"$356,000,000.00 ","$2,797,800,564.00 ",181
Warriors of Future,PG13,12/2/22,Drama,Released,Language,-,101
Infinite,PG-13,6/10/21,Science Fiction,English,-,-,106
Shrek the Third,PG,5/17/07,Fantasy,English,"$160,000,000.00 ","$813,367,380.00 ",93
Cruella,PG,5/27/21,Comedy,English,"$200,000,000.00 ","$233,503,234.00 ",134
Memory,M18,5/12/22,Action,English,-,"$11,300,000.00 ",114
The Suicide Squad,M18,8/5/21,Action,English,"$185,000,000.00 ","$168,657,565.00 ",132
Chappie,R,3/4/15,Crime,English,"$49,000,000.00 ","$104,399,548.00 ",
All My Friends Hate Me,15,6/10/22,Comedy,English,-,-,93
Mindcage,R,12/16/22,Mystery,English,-,-,107
The Matrix,PG,4/22/99,Action,English,"$63,000,000.00 ","$463,517,383.00 ",136
Lou,M18,9/23/22,Action,English,-,-,107
Summer Ghost,12,11/12/21,Animation,Japanese,-,-,
There Is a Japanese Woman in My Room,청소년관람불가,2/12/19,Drama,있다,Released,-,102
RRR,NC16,3/25/22,Action,రుధిరం,Released,"$160,000,000.00 ",187
Secret of the Wings,G,8/31/12,Animation,English,-,-,92
John Wick: Chapter 3 - Parabellum,M18,5/16/19,Action,English,"$55,000,000.00 ","$326,709,727.00 ",130
Six Swedish Girls in Alps,18,7/22/83,Romance,auf,Alm,-,90
The Bush,,8/18/22,Thriller,Status,Original,-,87
Mortal Kombat,M18,4/8/21,Action,English,"$20,000,000.00 ","$83,601,013.00 ",110
The Friendship Game,,11/11/22,Science Fiction,English,-,-,87
High & Low: The Worst X,,9/9/22,Action,Japanese,-,-,119
I Am Number Four,PG-13,2/18/11,Action,English,"$50,000,000.00 ","$149,878,437.00 ",109
Togo,NC16,10/5/22,Crime,Spanish;,Budget,-,95
The Bad Guys,PG,3/17/22,Animation,English,"$80,000,000.00 ","$248,000,000.00 ",100
Eternals,M18,11/4/21,Science Fiction,English,"$200,000,000.00 ","$402,064,899.00 ",156
Venus,,12/2/22,Drama,Spanish;,Budget,-,101
I Don't Like Younger Men 5,19+,4/23/20,Romance,5,Released,-,81
Ratatouille,G,6/29/07,Animation,English,"$150,000,000.00 ","$623,726,000.00 ",111
A Quiet Place Part II,PG13,6/17/21,Science Fiction,English,"$61,000,000.00 ","$297,372,261.00 ",97
Be My Slave,R18+,11/3/12,Drama,Released,Language,-,112
The Takeover,NC16,11/1/22,Action,Dutch;,Budget,-,87
Code Name Banshee,NR,7/1/22,Thriller,English,-,-,93
Dragon Knight,12,3/21/22,Fantasy,English,-,-,99
Halloween Ends,M18,10/13/22,Horror,English,"$20,000,000.00 ","$103,000,000.00 ",111
Sword Art Online the Movie -Progressive- Aria of a Starless Night,PG13,1/6/22,Animation,星なき夜のアリア,Released,"$14,037,060.00 ",97
The Fallout,M18,1/27/22,Drama,English,-,-,96
Cars 2,G,6/16/11,Animation,English,"$200,000,000.00 ","$559,852,396.00 ",106
Luca,PG,6/18/21,Animation,English,"$200,000,000.00 ","$49,010,641.00 ",95
Dragon Ball Z: Resurrection 'F',NR,4/18/15,Action,Status,Original,"$61,768,190.00 ",93
Tangled,PG,12/2/10,Animation,English,"$260,000,000.00 ","$592,461,732.00 ",100
Cars 3,G,6/16/17,Animation,English,"$175,000,000.00 ","$383,925,276.00 ",102
Resident Evil: Welcome to Raccoon City,NC16,12/2/21,Horror,English,"$40,000,000.00 ","$38,600,612.00 ",107
How to Train Your Dragon: The Hidden World,PG,1/31/19,Animation,English,"$129,000,000.00 ","$517,526,875.00 ",104
The Croods: A New Age,PG,11/26/20,Animation,English,"$65,000,000.00 ","$168,285,000.00 ",95
F9,PG13,7/1/21,Action,English,"$200,000,000.00 ","$726,229,501.00 ",143
Eureka: Eureka Seven Hi-Evolution,NR,11/26/21,Animation,Status,Original,-,116
After,PG-13,4/12/19,Romance,English,"$14,000,000.00 ","$69,497,587.00 ",106
What Men Want,R,2/8/19,Comedy,English,"$20,000,000.00 ","$69,766,483.00 ",117
Dog,PG13,3/17/22,Drama,English,"$20,000,000.00 ","$77,263,354.00 ",102
After We Fell,R,9/30/21,Romance,English,"$14,000,000.00 ","$21,500,000.00 ",99
The Wolf of Wall Street,R,1/9/14,Crime,English,"$100,000,000.00 ","$392,000,000.00 ",
Toy Story,G,11/22/95,Animation,English,"$30,000,000.00 ","$373,554,033.00 ",81
Ice Age,PG,3/15/02,Animation,English,"$59,000,000.00 ","$383,257,136.00 ",81
Wrath of Man,M18,4/29/21,Action,English,"$40,000,000.00 ","$103,966,489.00 ",119
After We Collided,R,10/23/20,Romance,English,-,"$42,000,000.00 ",105
Madagascar: A Little Wild Holiday Goose Chase,,11/26/21,Animation,English,-,-,
L'immensità,,9/15/22,Drama,Italian,-,-,97
Pirates of the Caribbean: On Stranger Tides,PG-13,5/19/11,Adventure,English,"$380,000,000.00 ","$1,045,713,802.00 ",137
Decision to Leave,M18,7/14/22,Mystery,Status,Original,"$16,914,773.00 ",138
Me Before You,PG-13,6/2/16,Drama,English,"$20,000,000.00 ","$207,945,075.00 ",110
Creed II,PG13,11/22/18,Drama,English,"$50,000,000.00 ","$214,215,889.00 ",130
Batman and Superman: Battle of the Super Sons,PG-13,10/18/22,Animation,English,-,-,79
Life in a Year,PG-13,11/27/20,Drama,English,-,-,107
Pretty Young Sister 4,19+,1/15/21,Drama,4,Released,-,70
The Lion King,G,8/10/94,Family,English,"$45,000,000.00 ","$763,455,561.00 ",89
Goodbye  Don Glees!,PG,2/18/22,Animation,Released,Language,-,95
The Godfather,M18,2/25/22,Drama,English,"$6,000,000.00 ","$245,066,411.00 ",175
You Won't Be Alone,MA15+,9/22/22,Horror,Macedonian,-,"$125,000.00 ",109
Dracula: The Original Living Vampire,NR,1/28/22,Horror,English,-,-,86
The Trapped 13: How We Survived The Thai Cave,PG13,10/5/22,Documentary,เรื่องเล่าจากในถ้ำ,Released,-,102
One Piece Film Red,G,8/6/22,Animation,FILM,Status,"$150,797,338.00 ",115
Godzilla vs. Kong,PG13,3/25/21,Action,English,"$200,000,000.00 ","$470,067,014.00 ",114
Deadpool,R,2/11/16,Action,English,"$58,000,000.00 ","$783,100,000.00 ",108
The Godfather Part III,R,8/6/08,Crime,English,"$54,000,000.00 ","$136,766,062.00 ",170
Clifford the Big Red Dog,PG,12/2/21,Family,English,"$64,000,000.00 ","$67,000,000.00 ",97
Avengers: Age of Ultron,9,4/23/15,Action,English,"$365,000,000.00 ","$1,405,403,694.00 ",141
Family Game,,6/17/22,Thriller,Fils,Released,-,110
Fifty Shades Darker,R,2/9/17,Drama,English,"$55,000,000.00 ","$378,827,494.00 ",118
